,0,1,2,3,4,5,6,7
928,,,,,,,,
929,,,,,,,,
930,,,,,,,,
931,Faster than a bullet Terrifying scream Enraged and full of anger He is half man and half machine Rides the metal monster Breathing smoke and fire Closing in with vengeance soaring high He is the painkiller This is the painkiller Planets devastated Mankind's on its knees A savior comes from out the skies In answer to their pleas Through boiling clouds if thunder Blasting bolts of steel Evils going under deadly wheels He is the painkiller This is the painkiller Faster then a laser bullet Louder than an atom bomb Chromium plated boiling metal Brighter than a thousand suns Flying high on rapture Stronger free and brave Nevermore encaptured They've been brought back from the grave With mankind resurrected Forever to survive Returns from Armageddon to the skies He is the painkiller This is the painkiller Wings of steel painkiller Deadly wheels painkiller He is the painkiller This is the painkiller He is the painkiller This is the painkiller Pain! Pain! Killer! Killer! Pain! Pain! Killer! Killer! Can't stop the painkiller Pain (pain),,,,,,,
932,,,,,,,,
933,"Hey, sister, are you all alone?  I'm standing out your window  Hey, little sister, can I come inside you? I want to show you all my love  I want to be the only one  I know you like nobody ever, baby  Little sister, can't you find another way? No more living life behind a shadow  You whisper secrets in my ear  Slowly dancing cheek to cheek  Such a sweet thing when you open up, baby  They say I'll only do you wrong  Come together 'cause I understand  Just who you really are, yeah, baby  Little sister, can't you find another way? No more living life behind a shadow I shake up.",,,,,,,
934,,,,,,,,
935,"Why do they always send the poor? Barbarisms by barbaras With pointed heels Victorious victorious kneel For brand new spankin' deals Marching forward hypocritic and Hypnotic computers You depend on our protection Yet you feed us lies from the tablecloth Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Kneeling roses disappearing into Moses' dry mouth Breaking into fort knox stealing Our intentions Hangers sitting dripped in oil Crying freedom Handed to obsoletion Still you feed us lies from the tablecloth Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Blast off! It's party time! And we don't live in a fascist nation! Blast off! It's party time! And where the fuck are you? Where the fuck are you? Where the fuck are you? Why don't presidents fight the war? Why do they always send the poor? Why don't presidents fight the war? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? Kneeling roses disappearing into Moses' dry mouth Breaking into fort knox stealing Our intentions Hangers sitting dripped in oil Crying freedom Handed to obsoletion, Still you feed us lies from the tablecloth Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sun Where the fuck are you? Where the fuck are you? Why don't presidents fight the war? Why do they always send the poor? Why don't presidents fight the war? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? They always send the poor! They always send the poor!",,,,,,,
936,,,,,,,,
937,"Days swiftly come and go. I'm dreaming of her She's seeing other guys Emotions they stir The sun is gone. The nights are long And I am left while the tears fall Did you think that I would cry, On the phone? Do you know what it feels like, Being alone? I'll find someone new swing, swing from the tangles of My heart is crushed by a former love. Can you help me find a way To carry on again Wish cast into the sky I'm moving on Sweet beginnings do arise She knows I was wrong The notes are old, They bend, they fold And so do I to a new love Did you think that I would cry, On the phone? Do you know what it feels like, Being alone? I'll find someone new swing, swing from the tangles of My heart is crushed by a former love. Can you help me find a way To carry on again Bury me (You thought your problems were gone) Carry me (Away, away, away) swing, swing from the tangles of My heart is crushed by a former love. Can you help me find a way To carry on again To carry on again To carry on again",,,,,,,
938,,,,,,,,
939,,,,,,,,
940,,,,,,,,
941,Is it worth the can you even hear me Standing with your spotlight on me Not enough to feed the hungry I'm tired and I felt it for awhile now In this sea of lonely The taste of ink is getting old It's four o' clock in the fucking morning Each day gets more and more like the last day Still I can see it coming While I'm standing in the river drowning This could be my chance to break out This could be my chance to say goodbye At last it's finally over Couldn't take this town much longer Being half dead wasn't what I planned to be Now I'm ready to be free So here I am it's in my hands And I'll savor every moment of this So here I am alive at last And I'll savor every moment of this Won't you think I'm pretty When I'm standing top the bright lit city And I'll take your hand and pick you up And keep you there so you can see it As long as you're alive and care I promise I will take you there We'll drink and dance the night away We'll drink and dance the night away So here I am it's in my hands And I'll savor every moment of this So here I am alive at last And I'll savor every moment of this Savor every moment of this As long as you're alive Here I am I promise I will take you there As long as you're alive Here I am I promise I will take you there Won't you think I'm pretty When I'm standing top the bright lit city And I'll take your hand and pick you up And keep you there so you can see it So long as you're alive and care I promise I will take you there So long as you're alive and care I promise I will take you there So here I am it's in my hands And I'll savor every moment of this So here I am alive at last And I'll savor every moment of this Savor every moment of this Savor every moment of this,,,,,,,
942,,,,,,,,
943,"Come away with me in the night Come away with me And I will write you a song Come away with me on a bus Come away where they can't tempt us, with their lies And I want to walk with you On a cloudy day In fields where the yellow grass grows knee-high So won't you try to come Come away with me and we'll kiss On a mountaintop Come away with me And I'll never stop loving you And I want to wake up with the rain Falling on a tin roof While I'm safe there in your arms So all I ask is for you To come away with me in the night Come away with me",,,,,,,
944,,,,,,,,
945,,,,,,,,
946,,,,,,,,
947,,,,,,,,
948,,,,,,,,
949,,,,,,,,
950,"I used to get away with so much Now I can´t get away I even thought that it was simple To say the things I wanted to say And you told me  Everything I wanted to hear And you sold me Now I don´t know how I should feel I should know me And baby, you would think I knew better I´m finding my way back to you And everything I used to be And waiting is all that I can do Until you find your way back to me What if I said what I was thinking? What if that says too much? When everybody´s got a reason I feel like giving up And you told me  Everything I wanted to hear And you sold me Now I don´t know how I should feel I should know me And baby, you would think I knew better I´m finding my way back to you And everything I used to be And waiting is all that I can do Until you find your way back to me Until you find your way back to me I used to get away with so much I´m finding my way back to you And everything I used to be And waiting is all that I can do Until you find your way back to me",,,,,,,
951,,,,,,,,
952,,,,,,,,
953,,,,,,,,
954,,,,,,,,
955,"I can't stand it for another day When you live so many miles away. Nothing here is gonna make me stay, (You) took me over, let me find a way. I sold my house I sold my motor, too. All I want is to be Next To You. I'd rob a bank Maybe steal a plane. You took me over, Think I'm goin' insane. What can I do, All I want is to be next to you. What can I do, All I want is to be next to you. I've had a thousand girls or maybe more, But I've never felt like this before. But I just don't know what's come over me, You took me over, take a look at me. What can I do, All I want is to be next to you. What can I do, All I want is to be next to you. All I want is to be next to you, All I want is to be next to you, All I want is to be next to you. So many times I used to give a sign Got this feeling, gonna lose my mind. When all it is is just a love affair. You took me over baby, take me there. What can I do All I want is to be next to you What can I do All I want is to be next to you What can I do All I want is to be next to you What can I do All I want is to be next to you.",,,,,,,
956,"You gotta keep 'em separated Like the latest fashion Like a spreading disease The kids are strappin' on their way to the classroom Getting weapons with the greatest of ease The gangs stake their own campus locale And if they catch you slippin' then it's all over pal If one guys colors and the others don't mix They're gonna bash it up Hey - man you talkin' back to me? Take him out You gotta keep 'em separated Hey - man you disrespecting me? Take him out You gotta keep 'em separated Hey they don't pay no mind If you're under 18 you won't be doing any time Hey, come out and play By the time you hear the siren It's already too late One goes to the morgue and the other to jail One guy's wasted and the other's a waste It goes down the same as the thousand before No one's getting smarter No one's learning the score Your never ending spree of death and violence and hate Is gonna tie your own rope Hey - man you disrespecting  to me? Take him out You gotta keep 'em separated Hey - man you talking back to me? Take him out You gotta keep 'em separated Hey they don't pay no mind If you're under 18 you won't be doing any time Hey, come out and play It goes down the same as the thousand before No one's getting smarter No one's learning the score Your never ending spree of death and violence and hate Is gonna tie your own rope Hey - man you talkin' back to me? Take him out You gotta keep 'em separated Hey - man you disrespecting me? Take him out You gotta keep 'em separated Hey they don't pay no mind If you're under 18 you won't be doing any time Hey, come out and play",,,,,,,
957,,,,,,,,
958,,,,,,,,
959,,,,,,,,
960,,,,,,,,
961,The key is so distant I've opened doors Know when to listen Know what to listen for (yeah) The shelf in the room Has been the way of holding me And letting me stay Kick me out Let me go I don't belong here no more A releasing sense of getting tired Hold myself I can't hold myself The shelf in the room Has been so true I can hide in The shelf in the room Holding out Never hold in Holding out Never hold Know when to listen Know what to listen for Believe in resistance Don't let them tell you anymore Is there anyway/no To get away/no Ask myself While I stay inside The key is so distant I've closed my doors The shelf in the room Is rain waiting to pour,,,,,,,
962,,,,,,,,
963,,,,,,,,
964,,,,,,,,
965,"First went wrong is hard to find We're paralyzed, we apologize Our hell is a good life Last went wrong, where's my prize under the lights Can we call it in? We'll be on the road Can we stop? When we stop my back will turn your face toward the fence What I thought it was it isn't now All this weight, is honest worse We're moderate, we modernize Till our hell is a good life All we know what to forgetâ?¦ how to do right Coloring in the black hole Can't we stop? when we stop My hands will shake, my eyes will burn My throat will ache, watching you turn From me toward your friends What I thought it was it isn't now What I thought it was it isn't Punishment to stall what is done What I thought was in is missing out What I thought it was it isn't now There's a pattern in the system There's a bullet in the gun That's why I tried to save you But it can't be done",,,,,,,
966,"Garlands evergreen Forget-me-not wreaths Chaplets see me drugged I could die in a rosary Die in a rosary (x4) Well, with these brave garlands They never find out for her They never find I'm lying Well, with these etchings Cravings convince My cravings commence Garlands evergreen Forget-me-not wreaths Chaplets see me drugged I could die in a rosary Die in a rosary (x4) Well, with these scarve's scars Cravings convince My cravings commence Well, with these splint's scars I'm all that to you I'm all that's who Garlands evergreen Forget-me-not wreaths Chaplets see me drugged I could die in a rosary Die in a rosary (x4) Well, with these scarve's scars Cravings convince My cravings commence Well, with these splint's scars I'm all that to you I'm all that's who",,,,,,,
967,,,,,,,,
968,,,,,,,,
969,,,,,,,,
970,,,,,,,,
971,,,,,,,,
972,"One day I know We'll find a place of hope Just hold on to me Just hold on to me Walk tight, one line You're wanted this time There's no one to blame Just hold on to me And I'm right on time (My love) And the birds keep singing And you're right on line And the bells keep ringing (Come on) And the battle is won (My love) And the planes keep winging And I'm right on time One day they'll be a place for us (And the girl keeps singing) I walk and I wade Through full lands and lonely I stumble, I stumble With you I wait To be born again With love comes the day Just hold on to me And I'm right on time (My love) And the birds keep singing And you're right on line One day they'll be a place for us (And the bells keep ringing) (Come on) And the battle is won (My love) And the planes keep winging And I'm right on time One day they'll be a place for us (And the girl keeps singing) Now is the time To follow through To read the signs Now the message sent Let's bring it to it's final end And I'm right on time (My love) And the birds keep singing And you're right on line One day they'll be a place for us (And the bells keep ringing) (Come on) And the battle is won (My love) And the planes keep winging And I'm right on time One day they'll be a place for us (And the girl keeps singing) And I'm right on time (My love) And the birds keep singing And you're right on line One day they'll be a place for us (And the bells keep ringing) (Come on) And the battle is won (My love) And the planes keep winging And I'm right on time One day they'll be a place for us (And the girl keeps singing) One  (My love) day I (One day they'll be a place for us) Know (Come on) They'll be (My love) A place Called (One day they'll be a place for us) Home",,,,,,,
973,"Superstition, fear and jealousy Dead I am the one, exterminating son  Slipping through the trees, strangling the breeze  Dead I am the sky, watching angels cry  While they slowly turn, conquering the worm  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Dead I am the pool, spreading from the fool  Weak and what you need, nowhere as you bleed  Dead I am the rat, feast upon the cat  Tender is the fur, dying as you purr  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Do it baby, do it baby  Do it baby, do it baby  Burn like an animal  Dead I am the life, dig into the skin  Knuckle crack the bone, twenty one to win  Dead I am the dog, hound of hell you cry  Devil on your back, I can never die  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Do it baby, do it baby  Do it baby, do it baby  Burn like an animal  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!  Dig through the ditches  And burn through the witches  I slam in the back of my  Dragula!",,,,,,,
974,,,,,,,,
975,"Feels like your life is over, Feels like no hope is gone, You kiss it all away, Maybe, maybe This is a second coming, This is a call to arms, You'll find us now and we'll be, Wasted, wasted Hey, hey, Hell is what you, Make, make, Rise against your, Faith, faith, Nothings gonna keep me down, Even if it's killing you Because you know the truth Well listen up, listen up There's a devil in the church, Got a bullet in the chamber, And this is gonna hurt Let it out, let it out, You can scream, and you can shout Keep your secrets in the shadows, And you'll be sorry Everybody's getting numb (everybody's getting numb) Everybody's on the run (everybody's on the run) Listen up, listen up, There's a devil in the church, Got a bullet in the chamber, And this is gonna hurt You got your hell together You know it could be worse A self inflicted murder, Maybe, maybe You say it's all a crisis You say it's all a blur There comes a time you gotta, Face it, face it Hey, hey, Hell is what you, Make, make, Rise against your, Faith, faith, Nothings gonna keep you down, Even if it's killing you Because you know the truth Listen up, listen up, There's a devil in the church Got a bullet in the chamber, And this is gonna hurt Let it out, let it out You can scream and you can shout Keep your secrets in the shadows, And you'll be sorry Everybody's getting numb (everybody's getting numb) Everybody's on the run (everybody's on the run) Listen up, listen up, There's a devil in the church Got a bullet in the chamber, And this is gonna hurt This is gonna hurt Listen up, listen up, There's a devil in the church, Got a bullet in the chamber, And this is gonna hurt Let it out, let it out You can scream, you can shout Keep your secrets in the shadows, And you'll be sorry Everybody's getting numb (everybody's getting numb) Everybody's on the run (everybody's on the run) And everybody's getting some (everybody's getting some) Everybody's on the run And this is gonna hurt Hey, hey, hey Hey, hey, hey This is gonna hurt",,,,,,,
976,"Days swiftly come and go. I'm dreaming of her She's seeing other guys Emotions they stir The sun is gone. The nights are long And I am left while the tears fall Did you think that I would cry, On the phone? Do you know what it feels like, Being alone? I'll find someone new swing, swing from the tangles of My heart is crushed by a former love. Can you help me find a way To carry on again Wish cast into the sky I'm moving on Sweet beginnings do arise She knows I was wrong The notes are old, They bend, they fold And so do I to a new love Did you think that I would cry, On the phone? Do you know what it feels like, Being alone? I'll find someone new swing, swing from the tangles of My heart is crushed by a former love. Can you help me find a way To carry on again Bury me (You thought your problems were gone) Carry me (Away, away, away) swing, swing from the tangles of My heart is crushed by a former love. Can you help me find a way To carry on again To carry on again To carry on again",,,,,,,
977,,,,,,,,
978,,,,,,,,
979,,,,,,,,
980,,,,,,,,
981,,,,,,,,
982,"Oh, he treats me with respect, he says he loves me all the time He calls me fifteen times a day, he likes to make sure that I'm fine You know I've never met a man who's made me feel quite so secure He's not like all them other boys, they're all so dumb and immature There's just one thing that's getting in the way When we go up to bed, you're just no good, it's such a shame I look into your eyes, I want to get to know you And then you make this noise and it's apparent it's all over It's not fair and I think you're really mean I think you're really mean, I think you're really mean Oh, you're suppose to care But you never make me scream, you never make me scream Oh, it's not fair and it's really not okay It's really not okay, it's really not okay Oh, you're supposed to care But all you do is take, yeah, all you do is take Oh, I lie here in the wet patch in the middle of the bed I'm feeling pretty damn hard done by, I spent ages giving head Then I remember all the nice things that you ever said to me Maybe I'm just overreacting, maybe you're the one for me There's just one thing that's getting in the way When we go up to bed, you're just no good, it's such a shame I look into your eyes, I want to get to know you And then you make this noise and it's apparent it's all over It's not fair and I think you're really mean I think you're really mean, I think you're really mean Oh, you're supposed to care But you never make me scream, you never make me scream Oh, it's not fair and it's really not okay It's really not okay, it's really not okay Oh, you're supposed to care But all you do is take, yeah, all you do is take There's just one thing that's getting in the way When we go up to bed, you're just no good, it's such a shame I look into your eyes, I want to get to know you And then you make this noise and it's apparent it's all over It's not fair and I think you're really mean I think you're really mean, I think you're really mean Oh, you're supposed to care But you never make me scream, you never make me scream Oh, it's not fair and it's really not okay It's really not okay, it's really not okay Oh, you're supposed to care But all you do is take, yeah, all you do is take",,,,,,,
983,,,,,,,,
984,"If you're having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one I got the rap patrol on the gat patrol Foes that want ta make sure my casket's closed Rap critics that say he's ""Money Cash Hoes"" I'm from the hood, stupid?what type of facts are those? If you grew up with holes in your zapatos You'd celebrate the minute you was having dough I'm like ""Fuck critics"" you can kiss my whole asshole If you don't like my lyrics, you can press fast forward? Got beef with radio if I don't play they show They don't play my hits, well, I don't give a shit, so Rap mags try and use my black ass So advertisers can give 'em more cash for ads, fuckers I don't know what you take me as Or understand the intelligence that Jay-Z has I'm from rags to riches, niggas I ain't dumb I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Year's '94 and my trunk is raw In my rear view mirror is the motherfucking law I got two choices y'all, pull over the car or, hmm, Bounce on the devil, put the pedal to the floor Now I ain't trying to see no highway chase with Jake Plus I got a few dollars I could fight the case So I, pull over to the side of the road I heard ""Son, do you know why I'm stopping you for?"" Cause I'm young and I'm black and my hat's real low Or do I look like a mind reader, sir?  I don't know Am I under arrest or should I guess some mo? ""Well you was doing fifty-five in the fifty-four"", uh huh ""License and registration and step out of the car ""Are you carrying a weapon on you, I know a lot of you are"" I ain't stepping out of shit, all my papers legit ""Well do you mind if I look around the car a little bit?"" Well my glove compartment is locked, so is the trunk and the back And I know my rights so you goin' need a warrant for that ""Aren't you sharp as a tack? You some type of lawyer or something? ""Somebody important or something?"" Child, I ain't passed the bar, but I know a little bit Enough that you won't illegally search my shit ""Well we'll see how smart you are when the K-9 come"" I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Now once upon a time not too long ago A nigga like myself had to strong arm a ho This is not a ho in the sense of having a pussy But a pussy having no goddamn sense try and push me I tried to ignore 'em, talk to the Lord Pray for 'em, cause some fools just love to perform You know the type, loud as a motorbike But wouldn't bust a grape in a fruit fight The only thing that's goin' happen is I'ma get to clapping and He and his boys goin' be yapping to the captain And there I go trapped in the Kit Kat again Back through the system with the riff raff again Fiends on the floor scratching again Paparazzi's with they cameras, snapping them D.A. tried to give a nigga shaft again Half a mil for bail cause I'm African All because this fool was harassing them Trying to play the boy like he's saccharine But ain't nothing sweet 'bout how I hold my gun I got ninety nine problems being a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Having girl problems I feel bad for you son I got ninety nine problems and a bitch ain't one You're crazy for this one, Rick, it's your boy",,,,,,,
985,,,,,,,,
986,,,,,,,,
987,,,,,,,,
988,,,,,,,,
989,,,,,,,,
990,,,,,,,,
991,,,,,,,,
992,,,,,,,,
993,,,,,,,,
994,,,,,,,,
995,"Thank you for being such a friend to me Oh I pray a friend for life, And have I ever told you how much you mean to me? Oh you're everything to me Thinking all the time how to tell you what I feel, Contemplating phrases I'm gazing at eternity, I am floating in serenity And I am so lost for words And I am so overwhelmed Please don't leave just yet Can you stay a moment please We can dance together We can dance forever Under your stars tonight We'll live and breathe this dream So close your eyes, but don't dream too deep And please pass me some memories And when I fall you're underneath A thousand broken hearts, carried by a thousand broken wings",,,,,,,
996,"My mouth, you're touching. Your mouth is running.  No loving, for nothing. Nobody knock my body out. My mouth is blowing right off, I'm so gone.  Incoming, out clubbin', not lovin', slow your body down. How are you not going to show your scar? How are you not going to get high, high? My mouth is touching to your mouth is running.  No loving, for nothing. Nobody knock my body out. How are you not going to show your scar? How are you not going to get high, high?",,,,,,,
997,,,,,,,,
998,,,,,,,,
999,"Into the streets, we're coming down We never sleep, never get tired Through urban fields, and suburban life Turn the crowd up now, we'll never back down Shoot down a skyline, watch it in prime time Turn up the love now, listen up now, turn up the love Who's gonna save the world tonight? Who's gonna bring you back to life? We're gonna make it, you and I We're gonna save the world tonight We're far from home, it's for the better What we dream, it's all that matters We're on our way, united Turn the crowd up now, we'll never back down Shoot down a skyline, watch it in prime time Turn up the love now, listen up now, turn up the love Who's gonna save the world tonight? Who's gonna bring you back to life? We're gonna make it, you and I We're gonna save the world tonight Who's gonna save? Who's gonna bring?  We're gonna make it, you and I Who's gonna save? Who's gonna bring?  We're gonna save the world tonight",,,,,,,
1000,I don't have to leave anymore What I have is right here Spend my nights and days before Searching the world for what's right here Underneath and unexplored Islands and cities I have looked Here I saw Something I couldn't over look I am yours now So now I don't ever have to leave I've been found out So now I'll never explore See what I've done That bridge is on fire Going back to where I've been I'm froze by desire No need to leave Where would I be IF this were to go under It's a risk I'd take I'm froze by desire As if a choice I'd make And I am yours now So now I don't ever have to leave I've been found out So now I'll never explore So now I'll never explore,,,,,,,
1001,,,,,,,,
1002,,,,,,,,
1003,,,,,,,,
1004,"I wake up every evening With a big smile on my face And it never feels out of place And you're still probably working At a nine to five pace I wonder how bad that tastes When you see my face Hope it gives you hell Hope it gives you hell When you walk my way Hope it gives you hell Hope it gives you hell Now where's your picket fence love And where's that shiny car And did it ever get you far You never seemed so tense love I've never seen you fall so hard Do you know where you are And truth be told I miss you And truth be told I'm lying When you see my face Hope it gives you hell Hope it gives you hell When you walk my way Hope it gives you hell Hope it gives you hell If you find a man that's worth a damn and treats you well Then he's a fool you're just as well Hope it gives you hell Hope it gives you hell Tomorrow you'll be thinking to yourself Where'd it all go wrong? But the list goes on and on And truth be told I miss you And truth be told I'm lying When you see my face Hope it gives you hell Hope it gives you hell When you walk my way Hope it gives you hell Hope it gives you hell When you find a man that's worth a damn and treats you well Then he's a fool, you're just as well Hope it gives you hell Now you'll never see What you've done to me You can take back your memories They're no good to me And here's all your lies You can't look me in the eyes With the sad, sad look That you wear so well When you see my face Hope it gives you hell Hope it gives you hell When you walk my way Hope it gives you hell Hope it gives you hell When you find a man that's worth a damn and treats you well Then he's a fool you're just as well Hope it gives you hell When you see my face Hope it gives you hell Hope it gives you hell When you walk my way Hope it gives you hell Hope it gives you hell When you hear this song and you sing along but you never tell Then you're the fool, I'm just as well Hope it gives you hell When you hear this song I hope that it will treat you well You can sing along I hope that it puts you through hell",,,,,,,
1005,Another she will anyway  Colliding on old photographs.  Some other candy matrimony  that strips the night I  breathe...  Maybe next time  tread wire on jaded memory  against every line I know  I threw my wish in there  and tripped the night I  breathe...  Maybe next time,,,,,,,
1006,,,,,,,,
1007,,,,,,,,
1008,"Come with me And you'll be In a world of pure imagination Take a look And you'll see Into your imagination We'll begin With a spin Traveling in The world of my creation What we'll see Will defy Explanation If you want to view paradise Simply look around and view it Anything you want to, do it Want to change the world? There's nothing to it There is no Life I know To compare with pure imagination Living there You'll be free If you truly wish to be If you want to see magic lands Close your eyes and you will see one Want to be a dreamer, be one Anytime you please and please save me one Come with me And you'll be In a world of pure imagination Take a look And you'll see Into your imagination There is no Place to go To compare with your imagination So go there To be free If you truly wish to be Living there You'll be free If you truly wish to be",,,,,,,
1009,,,,,,,,
1010,,,,,,,,
1011,"One two three four Ooh ooh While the sun hangs in the sky and the desert has sand While the waves crash in the sea and meet the land While there's a wind and the stars and the rainbow Till the mountains crumble into the plain Oh yes, we'll keep on trying Tread that fine line Oh, we'll keep on trying Yeah Just passing our time Oh oh While we live according to race, colour or creed While we rule by blind madness and pure greed Our lives dictated by tradition, superstition, false religion Through the eons and on and on Oh, yes, we'll keep on trying, yeah We'll tread that fine line Oh oh we'll keep on trying Till the end of time Till the end of time Through the sorrow all through our splendor Don't take offence at my innuendo Duh duh duh duh duh duh duh Duh duh duh duh duh duh duh duh duh duh duh You can be anything you want to be Just turn yourself into anything you think that you could ever be Be free with your tempo, be free, be free Surrender your ego be free, be free to yourself Oh oh, yeah If there's a God or any kind of justice under the sky If there's a point, if there's a reason to live or die Ha, if there's an answer to the questions we feel bound to ask Show yourself destroy our fears release your mask Oh yes, we'll keep on trying Hey, tread that fine line (Yeah) yeah We'll keep on smiling, yeah (Yeah) (yeah) (yeah) And whatever will be will be We'll just keep on trying We'll just keep on trying Till the end of time Till the end of time Till the end of time",,,,,,,
1012,Lay where you're laying Don't make a sound I know they're watching Watching All the commotion The kiddie like play It has people talking Talking You Your sex is on fire The dark of the alley The breaking of day Head while I'm driving I'm driving Soft lips are open Them knuckles are pale Feels like you're dying You're dying You Your sex is on fire Consumed With what's to transpire Hot as a fever Rattle of bones I could just taste it Taste it But it's not forever But it's just tonight Oh we're still the greatest The greatest The greatest You Your sex is on fire You Your sex is on fire Consumed With what's to transpire And you Your sex is on fire Consumed With what's to transpire,,,,,,,
1013,"Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, whoa Whenever I'm dressed cool My parents put up a fight (Uh huh, uh huh) And if I'm hot shot Mom will cut my hair at night (Uh huh, uh huh) And in the morning I'm short of my identity (Uh huh, uh huh) I scream Mom and Dad Why can't I be who I wanna be? (Uh huh, uh huh) To be I just wanna be myself And I want you to love me for who I am I just wanna be myself And I want you to know, I am my hair I've had enough, this is my prayer That I'll die livin' just as free as my hair I've had enough, this is my prayer That I'll die livin' just as free as my hair I've had enough, I'm not a freak I just keep fightin' to stay cool on the streets I've had enough, enough, enough And this is my prayer, I swear I'm as free as my hair I'm a free as my hair I am my hair I am my hair Free as my hair, hair, hair Hair, hair, ha-ha-ha-hair Hair, hair, hair Hair, hair, ha-ha-ha-hair Free as my hair, hair, hair Hair, hair, ha-ha-ha-hair Hair, hair, hair Hair, hair, ha-ha-ha-hair Sometimes I some raccoon Or red highlights Just because I want my friends To think I'm dynamite And on Friday rock city High school dance I got my bangs to hide That I don't stand a chance, a chance I just wanna be myself And I want you to love me for who I am I just wanna be myself And I want you to know, I am my hair I've had enough, this is my prayer That I'll die livin' just as free as my hair I've had enough, this is my prayer That I'll die livin' just as free as my hair I've had enough, I'm not a freak I just keep fightin' to stay cool on the streets I've had enough, enough, enough And this is my prayer, I swear I'm as free as my hair I'm a free as my hair I am my hair I am my hair Free as my hair, hair, hair Hair, hair, ha-ha-ha-hair Hair, hair, hair Hair, hair, ha-ha-ha-hair Free as my hair, hair, hair Hair, hair, ha-ha-ha-hair Hair, hair, hair Hair, hair, ha-ha-ha-hair I just want to be free, I just want to be me And I want lots of friends that invite me to their parties Don't wanna change, and I don't wanna be ashamed I'm the spirit of my hair, it's all the glory that I bare I am my hair, I'm my hair I am my hair, I'm hair I am my hair, I'm hair I am my hair, I'm hair It's all the glory that I bare I am my hair, I am my hair I am a hair, yeah It's all the glory that I bare I am my hair, I am my hair I'm my hair, yeah, yeah (All the glory that I bare) I'm my hair, yeah, yeah (All the glory that I bare) I'm my hair, yeah, yeah (All the glory that I bare) My hair, yeah, yeah, yeah I've had enough, this is my prayer That I'll die livin' just as free as my hair I've had enough, this is my prayer That I'll die livin' just as free as my hair I've had enough, I'm not a freak I just keep fightin' to stay cool on the streets I've had enough, enough, enough And this is my prayer, I swear I'm as free as my hair I'm a free as my hair I am my hair I am my hair I'm as free as my hair I'm as free as my hair I am my hair, I am my hair Ooh I'm my hair, I'm my hair",,,,,,,
1014,"Sometimes life it takes you by the hand It puts you down before you know it It's gone and you're dead again I've been in places and I won't pretend That I make it I just fall on my head When it's strange to take a walk downstairs Sweep you all up on a corner and pay for my bread You know that I cannot believe my own truth To show what a truth, it's got nothing to lose Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison but I'll hold on tight You know those days when you wanted to choose To not get out of bed and get lost in your head again You play the game but you gotta cut 'Cause you're coming down hard your joints are off stud I tried to say that's not the only way I never knew if I could convince myself to change You were pacing, I was insecure Slip and fall I got the calls of the prison I was living in Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison but I'll hold on tight Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison, a sip of something poison Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison but I'll hold on tight Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison, a sip of something poison",,,,,,,
1015,,,,,,,,
1016,,,,,,,,
1017,,,,,,,,
